Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"PCB","The PCB to put the other components on",1,2.00,"https://jlcpcb.com","JLCPCB"
"1 uf capacitors","To connect VC... pins to GND like in the reference sheet.  I only need 6 but buying 10 is cheaper.",10,0.49,"https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KAFNNNE/3886724","Digikey"
"5.6 pF capacitors ","Connecting to the crystal oscillator to handle load ",2,0.22,"https://www.digikey.com/en/products/detail/yageo/CC0805CRNPO9BN5R6/5883902","Digikey"
"10 uf capacitor","Capacitor to clear audio on L_out and R_out",2,0.60,"https://www.digikey.com/en/products/detail/rubycon/50YXJ10M5X11/3562914","Digikey"
"12 MHz Crystal Oscillator","Stable timing on the USBC ",1,0.56,"https://www.digikey.com/en/products/detail/kyocera-avx/CX3225SB12000D0GZJC1/5995239","Digikey"
"1M ohm resistor","Connected to the crystal oscillator ",1,0.10,"https://www.digikey.com/en/products/detail/yageo/MFR-25FBF52-1M/13714","Digikey"
"DX07P024AJ5R1500","The usbc plug port for my adapter",1,1.83,"https://www.digikey.com/en/products/detail/jae-electronics/DX07P024AJ5R1500/9169455","Digikey"
"PCM2902CDBR DAC","The digital-to-audio converter I will use for my adapter",1,15.09,"https://www.digikey.com/en/products/detail/texas-instruments/PCM2902CDBR/2780994","Digikey"
"TRS headphone jack","The headphone jack at one end of my converter",1,0.88,"https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/SJ-3523-SMT-TR/281297","Digikey"
"22 ohm resistors","To connect to D+ and D-",2,0.20,"https://www.digikey.com/en/products/detail/yageo/CFR-50JB-52-22R/1303","Digikey"
"5.1k ohm resistors","To connect to the CC and VCONN channels",2,0.20,"https://www.digikey.com/en/products/detail/yageo/CFR-25JT-52-5K1/9098642","Digikey"
